epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,627.941,1.67997,2.49467,1.59143,1.24182,0,0.63207,0.68405,0.66893,0.44024,0.42143,0.31872,0.31491,0.21958,1.45161,nan,1.3222,1.1415,0,0.000368925,0.000368925,0.000368925
2,1201.52,1.47683,2.01543,1.19343,1.12313,0,0.67552,0.67715,0.67789,0.43724,0.4311,0.31187,0.31096,0.21084,1.48128,nan,1.26154,1.14502,0,0.000724621,0.000724621,0.000724621
3,1786.93,1.44575,1.98661,1.14489,1.09894,0,0.67665,0.74039,0.71737,0.4762,0.50239,0.36071,0.34831,0.241,1.39478,nan,1.10641,1.08176,0,0.00106565,0.00106565,0.00106565
4,2442.1,1.40056,1.9272,1.09477,1.0772,0,0.6758,0.75584,0.72951,0.48996,0.51333,0.36102,0.34863,0.24761,1.33532,nan,1.0656,1.0647,0,0.00104501,0.00104501,0.00104501
5,2960.61,1.36042,1.91418,1.05602,1.05735,0,0.70386,0.74106,0.72928,0.49572,0.50753,0.35614,0.36486,0.26119,1.32022,nan,1.03639,1.05418,0,0.00102301,0.00102301,0.00102301
6,3596.02,1.33917,1.871,1.0308,1.04614,0,0.69549,0.69415,0.68416,0.46249,0.46337,0.31002,0.32482,0.22213,1.3074,nan,1.09248,1.04162,0,0.00100101,0.00100101,0.00100101
7,4224.36,1.31994,1.86762,1.00995,1.03745,0,0.71833,0.75589,0.76399,0.5272,0.52092,0.3611,0.36427,0.25981,1.26066,nan,0.9715,1.02915,0,0.000979013,0.000979013,0.000979013
8,4810.25,1.29492,1.81111,0.97572,1.02272,0,0.76479,0.76549,0.77535,0.54003,0.5116,0.35994,0.36883,0.26381,1.24541,nan,0.95381,1.01896,0,0.000957015,0.000957015,0.000957015
9,5610.11,1.29512,1.81699,0.9714,1.01921,0,0.75869,0.76666,0.77434,0.53673,0.59803,0.38164,0.39167,0.27818,1.24514,nan,0.93286,1.01369,0,0.000935018,0.000935018,0.000935018
10,6309.33,1.28278,1.81646,0.9596,1.01341,0,0.74732,0.7749,0.78726,0.55793,0.57188,0.38512,0.38837,0.2806,1.22622,nan,0.92317,1.01136,0,0.00091302,0.00091302,0.00091302
11,7013.34,1.26427,1.79619,0.94274,1.00791,0,0.75767,0.77534,0.78919,0.55749,0.54999,0.38084,0.38474,0.28146,1.21468,nan,0.90574,1.00111,0,0.000891022,0.000891022,0.000891022
12,7720.21,1.26559,1.77199,0.93793,1.00531,0,0.74407,0.78881,0.78682,0.55036,0.58845,0.37885,0.38973,0.28011,1.22414,nan,0.90834,0.99623,0,0.000869024,0.000869024,0.000869024
13,8350.01,1.24777,1.77093,0.92584,1.00215,0,0.77557,0.77493,0.7959,0.56206,0.60501,0.38163,0.39572,0.28513,1.21899,nan,0.90236,0.99646,0,0.000847026,0.000847026,0.000847026
14,9072.9,1.2504,1.77399,0.92274,0.99976,0,0.74372,0.77813,0.7805,0.54976,0.58893,0.38672,0.3836,0.277,1.20645,nan,0.9127,0.99274,0,0.000825029,0.000825029,0.000825029
15,9596.34,1.24536,1.74663,0.92043,0.99615,0,0.77297,0.78311,0.80074,0.56822,0.58117,0.38263,0.39561,0.28587,1.19302,nan,0.89069,0.98644,0,0.000803031,0.000803031,0.000803031
16,10038.5,1.22773,1.73371,0.90193,0.99166,0,0.76947,0.78523,0.794,0.56238,0.57333,0.38164,0.39308,0.28758,1.20762,nan,0.89397,0.99029,0,0.000781033,0.000781033,0.000781033
17,10533,1.22991,1.75005,0.90145,0.99097,0,0.77442,0.77583,0.79719,0.56546,0.59673,0.38522,0.39723,0.29095,1.20423,nan,0.88478,0.99069,0,0.000759035,0.000759035,0.000759035
18,11176.1,1.22797,1.72203,0.89933,0.98562,0,0.77049,0.78886,0.80334,0.56974,0.60656,0.3965,0.40231,0.29424,1.19449,nan,0.87949,0.98212,0,0.000737037,0.000737037,0.000737037
19,11787.6,1.21275,1.71193,0.88145,0.98147,0,0.76436,0.79885,0.80388,0.5709,0.57907,0.39739,0.39604,0.28966,1.18261,nan,0.86665,0.98136,0,0.00071504,0.00071504,0.00071504
